,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
54,2021 Audi RS 7 Sportback (2021),Germany,4.0L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 56%/44%,591 bhp (441 kW), 590 lb⋅ft (800 N·m),Rare
55,2021 Audi RS e-tron GT,Germany,2x electric motors,Mid-Engined,2-speed Transmission, 50%/50%,637 bhp (475 kW), 612 lb⋅ft (830 N·m),Epic
56,2015 Audi S1,Germany,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,228 bhp (170 kW), 273 lb⋅ft (370 N·m),Common
57,1983 Audi Sport quattro,Germany,2.1L Turbocharged I5,Front-Engined,5-speed Transmission, 55%/45%,306 bhp (228 kW), 258 lb⋅ft (350 N·m),Epic
58,2018 Audi TT RS,Germany,2.5L Turbocharged I5 (LEV3-ULEV125),Front-Engined,7-speed Transmission, 61%/39%,400 bhp (298 kW), 354 lb⋅ft (480 N·m),Rare
59,2010 Audi TT RS Coup%C3%A9,Germany,2.5L Turbocharged I5,Front-Engined,6-speed Transmission, 60%/40%,335 bhp (250 kW), 332 lb⋅ft (450 N·m),Rare
60,2015 Audi TTS Coup%C3%A9,Germany,2.0L Turbocharged I4,Front-Engined,7-speed Transmission, 57%/43%,310 bhp (231 kW), 280 lb⋅ft (380 N·m),Common
61,1958 Austin-Healey Sprite MkI,United Kingdom,0.9L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 54%/46%,45 bhp (34 kW), 52 lb⋅ft (71 N·m),Common
62,1939 Auto Union Type D,Germany,3.0L Twin-Screw Supercharged V12,Mid-Engined,5-speed Transmission, 42%/58%,485 bhp (362 kW), 413 lb⋅ft (560 N·m),Legendary
63,2014 BAC Mono,United Kingdom,2.3L Naturally-Aspirated I4 Duratec,Mid-Engined,6-speed Transmission, 48%/52%,280 bhp (209 kW), 206 lb⋅ft (280 N·m),Epic
64,1931 Bentley 4-1/2 Liter Supercharged,United Kingdom,4.4L Supercharged I4,Front-Engined,4-speed Transmission, 56%/44%,175 bhp (130 kW), 310 lb⋅ft (420 N·m),Legendary
65,1931 Bentley 8-Liter,United Kingdom,8.0L Naturally-Aspirated I6,Front-Engined,4-speed Transmission, 59%/41%,220 bhp (164 kW), 383 lb⋅ft (519 N·m),Legendary
66,2016 Bentley Bentayga,United Kingdom,6.0L Twin-Turbocharged W12,Front-Engined,8-speed Transmission, 57%/43%,599 bhp (447 kW), 663 lb⋅ft (899 N·m),Epic
67,2017 Bentley Continental Supersports (2017),United Kingdom,6.0L Twin-Turbocharged W12,Front-Engined,8-speed Transmission, 58%/42%,700 bhp (522 kW), 750 lb⋅ft (1017 N·m),Epic
68,1991 Bentley Turbo R,United Kingdom,6.7L Turbocharged V8,Front-Engined,3-speed Transmission, 51%/49%,328 bhp (245 kW), 487 lb⋅ft (660 N·m),Rare
69,2011 BMW 1 Series M Coupe,Germany,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 52%/48%,335 bhp (250 kW), 332 lb⋅ft (450 N·m),Rare
70,1973 BMW 2002 Turbo,Germany,2.0L Turbocharged I4,Front-Engined,4-speed Transmission, 54%/46%,168 bhp (125 kW), 181 lb⋅ft (245 N·m),Legendary
71,2015 BMW i8,Germany,1.5L Turbocharged Hybrid I3,Mid-Engined,6-speed Transmission, 49%/51%,357 bhp (266 kW), 420 lb⋅ft (570 N·m),Rare
72,1957 BMW Isetta 300 Export,Germany,0.3L Naturally-Aspirated I1,Rear-Engined,4-speed Transmission, 40%/60%,13 bhp (10 kW), 14 lb⋅ft (19 N·m),Common
73,1981 BMW M1,Germany,3.4L Naturally-Aspirated I6,Mid-Engined,5-speed Transmission, 44%/56%,277 bhp (207 kW), 243 lb⋅ft (329 N·m),Epic
74,2016 BMW M2 Coup%C3%A9,Germany,3.0L Turbocharged I6,Front-Engined,6-speed Transmission, 51%/49%,365 bhp (272 kW), 369 lb⋅ft (500 N·m),Common
75,1991 BMW M3 (1991),Germany,2.3L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 51%/49%,214 bhp (160 kW), 180 lb⋅ft (244 N·m),Rare
76,1997 BMW M3 (1997),Germany,3.2L Naturally-Aspirated I6,Front-Engined,6-speed Transmission, 50%/50%,321 bhp (239 kW), 258 lb⋅ft (350 N·m),Common
77,2005 BMW M3 (2005),Germany,3.2L Naturally-Aspirated I6,Front-Engined,6-speed Transmission, 50%/50%,333 bhp (248 kW), 262 lb⋅ft (355 N·m),Common
78,2008 BMW M3 (2008),Germany,4.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 52%/48%,414 bhp (309 kW), 295 lb⋅ft (400 N·m),Common
79,2002 BMW M3-GTR,Germany,4.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 50%/50%,380 bhp (283 kW), 288 lb⋅ft (390 N·m),Epic
80,2010 BMW M3 GTS,Germany,4.4L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 52%/48%,444 bhp (331 kW), 325 lb⋅ft (441 N·m),Epic
81,2021 BMW M4 Competition Coup%C3%A9,Germany,3.0L Twin-Turbocharged I6,Front-Engined,8-speed Transmission, 53%/47%,503 bhp (375 kW), 479 lb⋅ft (649 N·m),Rare
82,2014 BMW M4 Coup%C3%A9,Germany,3.0L Twin-Turbocharged I6,Front-Engined,7-speed Transmission, 52%/48%,431 bhp (321 kW), 405 lb⋅ft (550 N·m),Rare
83,2016 BMW M4 GTS,Germany,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 51%/49%,493 bhp (368 kW), 443 lb⋅ft (600 N·m),Epic
84,1988 BMW M5 (1988),Germany,3.5L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 52%/48%,282 bhp (210 kW), 251 lb⋅ft (340 N·m),Rare
85,1995 BMW M5 (1995),Germany,3.8L Naturally-Aspirated I6,Front-Engined,6-speed Transmission, 50%/50%,342 bhp (255 kW), 301 lb⋅ft (408 N·m),Rare
86,2003 BMW M5 (2003),Germany,5.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 53%/47%,394 bhp (294 kW), 368 lb⋅ft (499 N·m),Common
87,2009 BMW M5 (2009),Germany,5.0L Naturally-Aspirated V10,Front-Engined,7-speed Transmission, 52%/48%,500 bhp (373 kW), 383 lb⋅ft (520 N·m),Common
88,2012 BMW M5 (2012),Germany,4.4L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 52%/48%,552 bhp (412 kW), 501 lb⋅ft (679 N·m),Rare
89,2018 BMW M5 (2018),Germany,4.4L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 55%/45%,599 bhp (447 kW), 553 lb⋅ft (750 N·m),Rare
90,2013 BMW M6 Coupe (2013),Germany,4.4L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 53%/47%,560 bhp (418 kW), 500 lb⋅ft (678 N·m),Rare
91,2020 BMW M8 Competition Coupe,Germany,4.4L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 53%/47%,617 bhp (460 kW), 553 lb⋅ft (750 N·m),Rare
92,2011 BMW X5 M,Germany,4.4L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 51%/49%,547 bhp (408 kW), 501 lb⋅ft (679 N·m),Common
93,2011 BMW X5 M,Germany,4.4L Twin-Turbocharged V8,Front-Engined,6-speed Transmission, 51%/49%,547 bhp (408 kW), 501 lb⋅ft (679 N·m),Common
94,2015 BMW X6 M (2015),Germany,4.4L Twin-Turbocharged V8,Front-Engined,8-speed Transmission, 52%/48%,567 bhp (423 kW), 553 lb⋅ft (750 N·m),Epic
95,2002 BMW Z3 M Coupe,Germany,3.2L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 50%/50%,315 bhp (235 kW), 251 lb⋅ft (340 N·m),Common
96,2019 BMW Z4 Roadster,Germany,3.0L Turbocharged I6,Front-Engined,8-speed Transmission, 50%/50%,382 bhp (285 kW), 369 lb⋅ft (500 N·m),Common
97,2008 BMW Z4 M Coupe,Germany,3.2L Naturally-Aspirated I6,Front-Engined,6-speed Transmission, 50%/50%,343 bhp (256 kW), 269 lb⋅ft (365 N·m),Common
98,2019 Brabham BT62,Australia,5.4L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 41%/59%,700 bhp (522 kW), 492 lb⋅ft (667 N·m),Legendary
99,2018 Bugatti Chiron,France,8.0L Quad-Turbocharged W16,Mid-Engined,7-speed Transmission, 43%/57%,1479 bhp (1103 kW), 1180 lb⋅ft (1600 N·m),Legendary
100,2019 Bugatti Divo,France,8.0L Quad-Turbocharged W16,Mid-Engined,7-speed Transmission, 43%/57%,1479 bhp (1103 kW), 1180 lb⋅ft (1600 N·m),Legendary
101,1992 Bugatti EB110 Super Sport,France,3.5L Quad-Turbocharged V12,Mid-Engined,6-speed Transmission, 40%/60%,611 bhp (456 kW), 480 lb⋅ft (651 N·m),Legendary
102,1926 Bugatti Type 35 C,France,2.0L Supercharged I8,Front-Engined,4-speed Transmission, 55%/45%,95 bhp (71 kW), 96 lb⋅ft (130 N·m),Legendary
103,2011 Bugatti Veyron Super Sport,France,8.0L Quad-Turbocharged W16,Mid-Engined,7-speed Transmission, 45%/55%,1183 bhp (882 kW), 1105 lb⋅ft (1499 N·m),Legendary
104,1970 Buick GSX,United States of America,7.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 59%/41%,360 bhp (268 kW), 510 lb⋅ft (691 N·m),Rare
105,1987 Buick Regal GNX,United States of America,3.8L Turbocharged V6,Front-Engined,4-speed Transmission, 55%/45%,300 bhp (224 kW), 380 lb⋅ft (515 N·m),Rare
106,2016 Cadillac ATS-V,United States of America,3.6L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 51%/49%,464 bhp (346 kW), 444 lb⋅ft (602 N·m),Common
107,2016 Cadillac CTS-V Sedan,United States of America,6.2L Supercharged V8,Front-Engined,8-speed Transmission, 53%/47%,640 bhp (477 kW), 630 lb⋅ft (854 N·m),Common
108,2013 Cadillac XTS Limousine,United States of America,3.6L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 60%/40%,304 bhp (227 kW), 264 lb⋅ft (358 N·m),Rare
109,2018 Can-Am Maverick X RS Turbo R,United States of America,0.9L Turbocharged I3,Mid-Engined,1-speed Transmission, 40%/60%,172 bhp (128 kW), 124 lb⋅ft (168 N·m),Common
110,2013 Caterham Superlight R500,United Kingdom,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 47%/53%,263 bhp (196 kW), 177 lb⋅ft (240 N·m),Rare
111,1955 Chevrolet 150 Utility Sedan,United States of America,4.3L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 55%/45%,180 bhp (134 kW), 260 lb⋅ft (353 N·m),Common
112,1957 Chevrolet Bel Air,United States of America,4.6L Naturally-Aspirated V8,Front-Engined,2-speed Transmission, 57%/43%,220 bhp (164 kW), 300 lb⋅ft (407 N·m),Rare
113,1969 Chevrolet Camaro Super Sport Coupe,United States of America,6.5L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,375 bhp (280 kW), 415 lb⋅ft (563 N·m),Rare
114,2015 Chevrolet Camaro Z/28 (2015),United States of America,7.0L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 52%/48%,505 bhp (377 kW), 481 lb⋅ft (652 N·m),Rare
115,1970 Chevrolet Camaro Z28 (1970),United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 57%/43%,360 bhp (268 kW), 380 lb⋅ft (515 N·m),Rare
116,1979 Chevrolet Camaro Z28 (1979),United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,175 bhp (130 kW), 270 lb⋅ft (366 N·m),Rare
117,2017 Chevrolet Camaro ZL1 (2017),United States of America,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 50%/50%,650 bhp (485 kW), 650 lb⋅ft (881 N·m),Rare
118,2018 Chevrolet Camaro ZL1 1LE,United States of America,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 54%/46%,650 bhp (485 kW), 650 lb⋅ft (881 N·m),Rare
119,1970 Chevrolet Chevelle Super Sport 454,United States of America,7.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 59%/41%,450 bhp (336 kW), 500 lb⋅ft (678 N·m),Rare
120,2017 Chevrolet Colorado ZR2,United States of America,3.6L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 57%/43%,308 bhp (230 kW), 275 lb⋅ft (373 N·m),Common
121,1953 Chevrolet Corvette (1953),United States of America,3.8L Naturally-Aspirated I6,Front-Engined,2-speed Transmission, 53%/47%,160 bhp (119 kW), 223 lb⋅ft (302 N·m),Legendary
122,1953 Chevrolet Corvette (1953),United States of America,3.8L Naturally-Aspirated I6,Front-Engined,2-speed Transmission, 53%/47%,160 bhp (119 kW), 223 lb⋅ft (302 N·m),Legendary
123,1960 Chevrolet Corvette (1960),United States of America,4.6L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,290 bhp (216 kW), 290 lb⋅ft (393 N·m),Epic
124,1967 Chevrolet Corvette Stingray 427,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 46%/54%,435 bhp (324 kW), 460 lb⋅ft (624 N·m),Epic
125,2020 Chevrolet C8 Corvette Stingray,United States of America,6.2L Naturally-Aspirated V8,Mid-Engined,8-speed Transmission, 40%/60%,495 bhp (369 kW), 469 lb⋅ft (636 N·m),Rare
126,2002 Chevrolet Corvette Z06 (2002),United States of America,5.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 56%/44%,405 bhp (302 kW), 400 lb⋅ft (542 N·m),Common
127,2015 Chevrolet Corvette Z06 (2015),United States of America,6.2L Supercharged V8,Front-Engined,8-speed Transmission, 50%/50%,650 bhp (485 kW), 650 lb⋅ft (881 N·m),Rare
128,2009 Chevrolet Corvette ZR1 (2009),United States of America,6.2L Supercharged V8,Front-Engined,6-speed Transmission, 52%/48%,638 bhp (476 kW), 604 lb⋅ft (819 N·m),Rare
129,2019 Chevrolet Corvette ZR1 (2019),United States of America,6.2L Supercharged V8,Front-Engined,8-speed Transmission, 50%/50%,755 bhp (563 kW), 715 lb⋅ft (969 N·m),Epic
130,1970 Chevrolet Corvette ZR-1,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 49%/51%,370 bhp (276 kW), 380 lb⋅ft (515 N·m),Epic
131,1995 Chevrolet Corvette ZR-1 (1995),United States of America,5.7L Naturally-Aspirated V8,Front-Engined,6-speed Transmission, 52%/48%,405 bhp (302 kW), 385 lb⋅ft (522 N·m),Common
132,1970 Chevrolet El Camino Super Sport 454,United States of America,7.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 60%/40%,450 bhp (336 kW), 500 lb⋅ft (678 N·m),Rare
133,2018 Chevrolet Hot Wheels COPO Camaro,United States of America,5.7L Supercharged V8,Front-Engined,4-speed Transmission, 55%/45%,1100 bhp (820 kW), 850 lb⋅ft (1152 N·m),Rare
134,1996 Chevrolet Impala Super Sport,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,260 bhp (194 kW), 330 lb⋅ft (447 N·m),Common
135,1964 Chevrolet Impala Super Sport 409,United States of America,6.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,425 bhp (317 kW), 425 lb⋅ft (576 N·m),Common
136,1988 Chevrolet Monte Carlo Super Sport,United States of America,5.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 57%/43%,180 bhp (134 kW), 225 lb⋅ft (305 N·m),Common
137,1969 Chevrolet Nova Super Sport 396,United States of America,6.5L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 55%/45%,375 bhp (280 kW), 415 lb⋅ft (563 N·m),Common
138,1970 Datsun 510,Japan,1.6L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 54%/46%,96 bhp (72 kW), 100 lb⋅ft (136 N·m),Common
139,2018 Chevrolet Silverado 1500 DeBerti Design Drift Truck,United States of America,7.0L Supercharged V8,Front-Engined,6-speed Transmission, 51%/49%,1005 bhp (749 kW), 912 lb⋅ft (1237 N·m),Epic
140,2018 Ford F-150 Prerunner DeBerti Design Truck,United States of America,5.0L Twin-Turbocharged V8,Front-Engined,10-speed Transmission, 49%/51%,800 bhp (597 kW), 800 lb⋅ft (1085 N·m),Epic
141,2018 Ford Mustang GT DeBerti Design,United States of America,6.9L Naturally-Aspirated V8 (NASCAR),Front-Engined,6-speed Transmission, 51%/49%,900 bhp (671 kW), 626 lb⋅ft (849 N·m),Common
142,2019 DeBerti Toyota Tacoma TRD %22The Performance Truck%22,United States of America,6.2L Supercharged V8,Front-Engined,3-speed Transmission, 50%/50%,707 bhp (527 kW), 650 lb⋅ft (881 N·m),Epic
143,2013 Jeep Wrangler Unlimited DeBerti Design,United States of America,2.8L Naturally-Aspirated V6,Rear-Engined,5-speed Transmission, 38%/62%,130 bhp (97 kW), 160 lb⋅ft (217 N·m),Legendary
144,1982 DeLorean DMC-12,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Epic
145,1970 Dodge Challenger R/T,United States of America,6.2L Supercharged V8,Front-Engined,8-speed Transmission, 58%/42%,840 bhp (626 kW), 770 lb⋅ft (1044 N·m),Rare
